# Output TH1D: 12 (proton energy )
# BinCenter,Content,BinHalfWidth,Error
36450,71,50,8.42615
36550,84,50,9.16515
36650,57,50,7.54983
36750,82,50,9.05539
36850,82,50,9.05539
36950,74,50,8.60233
37050,72,50,8.48528
37150,63,50,7.93725
37250,62,50,7.87401
37350,68,50,8.24621
37450,70,50,8.3666
37550,84,50,9.16515
37650,82,50,9.05539
37750,86,50,9.27362
37850,65,50,8.06226
37950,76,50,8.7178
38050,69,50,8.30662
38150,74,50,8.60233
38250,65,50,8.06226
38350,66,50,8.12404
38450,64,50,8
38550,66,50,8.12404
38650,59,50,7.68115
38750,65,50,8.06226
38850,59,50,7.68115
38950,63,50,7.93725
39050,72,50,8.48528
39150,52,50,7.2111
39250,71,50,8.42615
39350,79,50,8.88819
39450,49,50,7
39550,58,50,7.61577
39650,52,50,7.2111
39750,80,50,8.94427
39850,59,50,7.68115
39950,77,50,8.77496
40050,64,50,8
40150,52,50,7.2111
40250,56,50,7.48331
40350,63,50,7.93725
40450,63,50,7.93725
40550,71,50,8.42615
40650,51,50,7.14143
40750,59,50,7.68115
40850,55,50,7.4162
40950,49,50,7
41050,73,50,8.544
41150,67,50,8.18535
41250,60,50,7.74597
41350,66,50,8.12404
41450,74,50,8.60233
41550,46,50,6.78233
41650,58,50,7.61577
41750,66,50,8.12404
41850,59,50,7.68115
41950,63,50,7.93725
42050,71,50,8.42615
42150,55,50,7.4162
42250,44,50,6.63325
42350,60,50,7.74597
42450,61,50,7.81025
42550,53,50,7.28011
42650,52,50,7.2111
42750,63,50,7.93725
42850,54,50,7.34847
42950,74,50,8.60233
43050,66,50,8.12404
43150,59,50,7.68115
43250,33,50,5.74456
43350,60,50,7.74597
43450,55,50,7.4162
43550,49,50,7
43650,54,50,7.34847
43750,61,50,7.81025
43850,57,50,7.54983
43950,50,50,7.07107
44050,59,50,7.68115
44150,54,50,7.34847
44250,53,50,7.28011
44350,63,50,7.93725
44450,56,50,7.48331
44550,62,50,7.87401
44650,50,50,7.07107
44750,62,50,7.87401
44850,60,50,7.74597
44950,50,50,7.07107
45050,52,50,7.2111
45150,44,50,6.63325
45250,63,50,7.93725
45350,41,50,6.40312
45450,37,50,6.08276
45550,54,50,7.34847
45650,47,50,6.85565
45750,60,50,7.74597
45850,49,50,7
45950,45,50,6.7082
46050,42,50,6.48074
46150,45,50,6.7082
46250,46,50,6.78233
46350,39,50,6.245
46450,48,50,6.9282
46550,60,50,7.74597
46650,45,50,6.7082
46750,59,50,7.68115
46850,47,50,6.85565
46950,52,50,7.2111
47050,40,50,6.32456
47150,48,50,6.9282
47250,36,50,6
47350,55,50,7.4162
47450,43,50,6.55744
47550,48,50,6.9282
47650,61,50,7.81025
47750,28,50,5.2915
47850,38,50,6.16441
47950,56,50,7.48331
48050,42,50,6.48074
48150,44,50,6.63325
48250,49,50,7
48350,43,50,6.55744
48450,34,50,5.83095
48550,36,50,6
48650,33,50,5.74456
48750,52,50,7.2111
48850,55,50,7.4162
48950,34,50,5.83095
49050,35,50,5.91608
49150,44,50,6.63325
49250,52,50,7.2111
49350,47,50,6.85565
49450,47,50,6.85565
49550,32,50,5.65685
49650,50,50,7.07107
49750,34,50,5.83095
49850,30,50,5.47723
49950,46,50,6.78233
50050,37,50,6.08276
50150,37,50,6.08276
50250,40,50,6.32456
50350,45,50,6.7082
50450,39,50,6.245
50550,39,50,6.245
50650,45,50,6.7082
50750,37,50,6.08276
50850,40,50,6.32456
50950,40,50,6.32456
51050,44,50,6.63325
51150,37,50,6.08276
51250,36,50,6
51350,35,50,5.91608
51450,31,50,5.56776
51550,47,50,6.85565
51650,31,50,5.56776
51750,45,50,6.7082
51850,36,50,6
51950,37,50,6.08276
52050,37,50,6.08276
52150,42,50,6.48074
52250,44,50,6.63325
52350,35,50,5.91608
52450,29,50,5.38516
52550,32,50,5.65685
52650,47,50,6.85565
52750,48,50,6.9282
52850,57,50,7.54983
52950,38,50,6.16441
53050,41,50,6.40312
53150,36,50,6
53250,30,50,5.47723
53350,42,50,6.48074
53450,35,50,5.91608
53550,27,50,5.19615
53650,36,50,6
53750,39,50,6.245
53850,21,50,4.58258
53950,32,50,5.65685
54050,21,50,4.58258
54150,43,50,6.55744
54250,34,50,5.83095
54350,33,50,5.74456
54450,32,50,5.65685
54550,45,50,6.7082
54650,31,50,5.56776
54750,30,50,5.47723
54850,35,50,5.91608
54950,33,50,5.74456
55050,29,50,5.38516
55150,35,50,5.91608
55250,32,50,5.65685
55350,34,50,5.83095
55450,37,50,6.08276
55550,45,50,6.7082
55650,41,50,6.40312
55750,24,50,4.89898
55850,36,50,6
55950,35,50,5.91608
56050,36,50,6
56150,30,50,5.47723
56250,33,50,5.74456
56350,32,50,5.65685
56450,30,50,5.47723
56550,34,50,5.83095
56650,37,50,6.08276
56750,27,50,5.19615
56850,45,50,6.7082
56950,34,50,5.83095
57050,40,50,6.32456
57150,35,50,5.91608
57250,30,50,5.47723
57350,36,50,6
57450,31,50,5.56776
57550,49,50,7
57650,40,50,6.32456
57750,30,50,5.47723
57850,28,50,5.2915
57950,27,50,5.19615
58050,22,50,4.69042
58150,38,50,6.16441
58250,24,50,4.89898
58350,25,50,5
58450,33,50,5.74456
58550,33,50,5.74456
58650,33,50,5.74456
58750,46,50,6.78233
58850,26,50,5.09902
58950,25,50,5
59050,34,50,5.83095
59150,34,50,5.83095
59250,34,50,5.83095
59350,18,50,4.24264
59450,28,50,5.2915
59550,26,50,5.09902
59650,30,50,5.47723
59750,34,50,5.83095
59850,39,50,6.245
59950,23,50,4.79583
60050,35,50,5.91608
60150,22,50,4.69042
60250,33,50,5.74456
60350,29,50,5.38516
60450,24,50,4.89898
60550,29,50,5.38516
60650,29,50,5.38516
60750,28,50,5.2915
60850,25,50,5
60950,21,50,4.58258
61050,33,50,5.74456
61150,21,50,4.58258
61250,34,50,5.83095
61350,36,50,6
61450,32,50,5.65685
61550,39,50,6.245
61650,39,50,6.245
61750,28,50,5.2915
61850,22,50,4.69042
61950,38,50,6.16441
62050,39,50,6.245
62150,21,50,4.58258
62250,23,50,4.79583
62350,33,50,5.74456
62450,31,50,5.56776
62550,39,50,6.245
62650,31,50,5.56776
62750,34,50,5.83095
62850,31,50,5.56776
62950,21,50,4.58258
63050,25,50,5
63150,33,50,5.74456
63250,25,50,5
63350,19,50,4.3589
63450,30,50,5.47723
63550,25,50,5
63650,37,50,6.08276
63750,30,50,5.47723
63850,36,50,6
63950,33,50,5.74456
64050,35,50,5.91608
64150,26,50,5.09902
64250,29,50,5.38516
64350,23,50,4.79583
64450,22,50,4.69042
64550,25,50,5
64650,31,50,5.56776
64750,39,50,6.245
64850,27,50,5.19615
64950,26,50,5.09902
65050,19,50,4.3589
65150,33,50,5.74456
65250,18,50,4.24264
65350,34,50,5.83095
65450,23,50,4.79583
65550,20,50,4.47214
65650,29,50,5.38516
65750,24,50,4.89898
65850,28,50,5.2915
65950,35,50,5.91608
66050,24,50,4.89898
66150,25,50,5
66250,26,50,5.09902
66350,26,50,5.09902
66450,22,50,4.69042
66550,29,50,5.38516
66650,25,50,5
66750,25,50,5
66850,25,50,5
66950,32,50,5.65685
67050,26,50,5.09902
67150,29,50,5.38516
67250,23,50,4.79583
67350,21,50,4.58258
67450,28,50,5.2915
67550,25,50,5
67650,29,50,5.38516
67750,26,50,5.09902
67850,27,50,5.19615
67950,25,50,5
68050,22,50,4.69042
68150,19,50,4.3589
68250,35,50,5.91608
68350,25,50,5
68450,26,50,5.09902
68550,14,50,3.74166
68650,25,50,5
68750,27,50,5.19615
68850,29,50,5.38516
68950,26,50,5.09902
69050,23,50,4.79583
69150,26,50,5.09902
69250,32,50,5.65685
69350,24,50,4.89898
69450,21,50,4.58258
69550,28,50,5.2915
69650,17,50,4.12311
69750,27,50,5.19615
69850,17,50,4.12311
69950,31,50,5.56776
70050,21,50,4.58258
70150,29,50,5.38516
70250,21,50,4.58258
70350,25,50,5
70450,20,50,4.47214
70550,23,50,4.79583
70650,22,50,4.69042
70750,26,50,5.09902
70850,21,50,4.58258
70950,15,50,3.87298
71050,29,50,5.38516
71150,21,50,4.58258
71250,27,50,5.19615
71350,25,50,5
71450,22,50,4.69042
71550,21,50,4.58258
71650,26,50,5.09902
71750,22,50,4.69042
71850,27,50,5.19615
71950,28,50,5.2915
72050,11,50,3.31662
72150,25,50,5
72250,20,50,4.47214
72350,29,50,5.38516
72450,25,50,5
72550,19,50,4.3589
72650,32,50,5.65685
72750,21,50,4.58258
72850,31,50,5.56776
72950,21,50,4.58258
73050,17,50,4.12311
73150,19,50,4.3589
73250,24,50,4.89898
73350,12,50,3.4641
73450,22,50,4.69042
73550,26,50,5.09902
73650,28,50,5.2915
73750,26,50,5.09902
73850,24,50,4.89898
73950,26,50,5.09902
74050,30,50,5.47723
74150,23,50,4.79583
74250,20,50,4.47214
74350,19,50,4.3589
74450,17,50,4.12311
74550,16,50,4
74650,20,50,4.47214
74750,28,50,5.2915
74850,24,50,4.89898
74950,21,50,4.58258
75050,20,50,4.47214
75150,16,50,4
75250,24,50,4.89898
75350,24,50,4.89898
75450,20,50,4.47214
75550,23,50,4.79583
75650,17,50,4.12311
75750,15,50,3.87298
75850,15,50,3.87298
75950,21,50,4.58258
76050,16,50,4
76150,27,50,5.19615
76250,13,50,3.60555
76350,12,50,3.4641
76450,22,50,4.69042
76550,24,50,4.89898
76650,23,50,4.79583
76750,11,50,3.31662
76850,21,50,4.58258
76950,18,50,4.24264
77050,26,50,5.09902
77150,30,50,5.47723
77250,13,50,3.60555
77350,20,50,4.47214
77450,12,50,3.4641
77550,18,50,4.24264
77650,19,50,4.3589
77750,13,50,3.60555
77850,25,50,5
77950,19,50,4.3589
78050,19,50,4.3589
78150,18,50,4.24264
78250,26,50,5.09902
78350,20,50,4.47214
78450,24,50,4.89898
78550,14,50,3.74166
78650,23,50,4.79583
78750,23,50,4.79583
78850,21,50,4.58258
78950,19,50,4.3589
79050,15,50,3.87298
79150,9,50,3
79250,11,50,3.31662
79350,24,50,4.89898
79450,22,50,4.69042
79550,19,50,4.3589
79650,24,50,4.89898
79750,11,50,3.31662
79850,22,50,4.69042
79950,14,50,3.74166
80050,18,50,4.24264
80150,24,50,4.89898
80250,14,50,3.74166
80350,17,50,4.12311
80450,19,50,4.3589
80550,16,50,4
80650,21,50,4.58258
80750,17,50,4.12311
80850,11,50,3.31662
80950,14,50,3.74166
81050,20,50,4.47214
81150,18,50,4.24264
81250,15,50,3.87298
81350,23,50,4.79583
81450,20,50,4.47214
81550,13,50,3.60555
81650,16,50,4
81750,12,50,3.4641
81850,19,50,4.3589
81950,14,50,3.74166
82050,23,50,4.79583
82150,20,50,4.47214
82250,20,50,4.47214
82350,20,50,4.47214
82450,21,50,4.58258
82550,26,50,5.09902
82650,13,50,3.60555
82750,16,50,4
82850,24,50,4.89898
82950,20,50,4.47214
83050,18,50,4.24264
83150,16,50,4
83250,21,50,4.58258
83350,20,50,4.47214
83450,29,50,5.38516
83550,20,50,4.47214
83650,23,50,4.79583
83750,17,50,4.12311
83850,20,50,4.47214
83950,22,50,4.69042
84050,18,50,4.24264
84150,12,50,3.4641
84250,24,50,4.89898
84350,26,50,5.09902
84450,15,50,3.87298
84550,12,50,3.4641
84650,13,50,3.60555
84750,18,50,4.24264
84850,28,50,5.2915
84950,10,50,3.16228
85050,10,50,3.16228
85150,15,50,3.87298
85250,20,50,4.47214
85350,11,50,3.31662
85450,22,50,4.69042
85550,18,50,4.24264
85650,14,50,3.74166
85750,18,50,4.24264
85850,17,50,4.12311
85950,22,50,4.69042
86050,18,50,4.24264
86150,14,50,3.74166
86250,15,50,3.87298
