# Output TH1D: 11 (+/-mu energy )
# BinCenter,Content,BinHalfWidth,Error
40650,0,50,0
40750,1,50,1
40850,1,50,1
40950,0,50,0
41050,0,50,0
41150,1,50,1
41250,1,50,1
41350,0,50,0
41450,0,50,0
41550,1,50,1
41650,0,50,0
41750,0,50,0
41850,0,50,0
41950,0,50,0
42050,1,50,1
42150,1,50,1
42250,0,50,0
42350,0,50,0
42450,1,50,1
42550,0,50,0
42650,1,50,1
42750,0,50,0
42850,0,50,0
42950,0,50,0
43050,1,50,1
43150,0,50,0
43250,0,50,0
43350,1,50,1
43450,0,50,0
43550,0,50,0
43650,1,50,1
43750,0,50,0
43850,2,50,1.41421
43950,2,50,1.41421
44050,0,50,0
44150,2,50,1.41421
44250,0,50,0
44350,1,50,1
44450,0,50,0
44550,0,50,0
44650,2,50,1.41421
44750,0,50,0
44850,2,50,1.41421
44950,1,50,1
45050,0,50,0
45150,1,50,1
45250,0,50,0
45350,1,50,1
45450,3,50,1.73205
45550,0,50,0
45650,1,50,1
45750,0,50,0
45850,1,50,1
45950,1,50,1
46050,0,50,0
46150,0,50,0
46250,0,50,0
46350,0,50,0
46450,0,50,0
46550,0,50,0
46650,0,50,0
46750,1,50,1
46850,0,50,0
46950,0,50,0
47050,0,50,0
47150,0,50,0
47250,0,50,0
47350,1,50,1
47450,0,50,0
47550,0,50,0
47650,0,50,0
47750,0,50,0
47850,1,50,1
47950,0,50,0
48050,0,50,0
48150,0,50,0
48250,1,50,1
48350,0,50,0
48450,2,50,1.41421
48550,0,50,0
48650,0,50,0
48750,0,50,0
48850,0,50,0
48950,0,50,0
49050,0,50,0
49150,0,50,0
49250,1,50,1
49350,0,50,0
49450,0,50,0
49550,0,50,0
49650,0,50,0
49750,0,50,0
49850,0,50,0
49950,0,50,0
50050,0,50,0
50150,1,50,1
50250,0,50,0
50350,0,50,0
50450,0,50,0
50550,0,50,0
50650,0,50,0
50750,0,50,0
50850,0,50,0
50950,1,50,1
51050,1,50,1
51150,0,50,0
51250,1,50,1
51350,1,50,1
51450,0,50,0
51550,0,50,0
51650,0,50,0
51750,0,50,0
51850,0,50,0
51950,0,50,0
52050,0,50,0
52150,0,50,0
52250,0,50,0
52350,0,50,0
52450,0,50,0
52550,0,50,0
52650,0,50,0
52750,0,50,0
52850,0,50,0
52950,1,50,1
53050,0,50,0
53150,0,50,0
53250,0,50,0
53350,0,50,0
53450,0,50,0
53550,0,50,0
53650,0,50,0
53750,1,50,1
53850,0,50,0
53950,0,50,0
54050,0,50,0
54150,0,50,0
54250,0,50,0
54350,0,50,0
54450,0,50,0
54550,0,50,0
54650,0,50,0
54750,0,50,0
54850,0,50,0
54950,0,50,0
55050,0,50,0
55150,0,50,0
55250,0,50,0
55350,0,50,0
55450,1,50,1
55550,0,50,0
55650,1,50,1
55750,1,50,1
55850,0,50,0
55950,0,50,0
56050,0,50,0
56150,0,50,0
56250,0,50,0
56350,0,50,0
56450,0,50,0
56550,1,50,1
56650,0,50,0
56750,0,50,0
56850,2,50,1.41421
56950,0,50,0
57050,0,50,0
57150,0,50,0
57250,1,50,1
57350,0,50,0
57450,0,50,0
57550,0,50,0
57650,1,50,1
57750,0,50,0
57850,0,50,0
57950,0,50,0
58050,1,50,1
58150,0,50,0
58250,0,50,0
58350,0,50,0
58450,0,50,0
58550,0,50,0
58650,1,50,1
58750,0,50,0
58850,0,50,0
58950,0,50,0
59050,1,50,1
59150,0,50,0
59250,0,50,0
59350,0,50,0
59450,0,50,0
59550,0,50,0
59650,0,50,0
59750,0,50,0
59850,0,50,0
59950,1,50,1
60050,0,50,0
60150,0,50,0
60250,0,50,0
60350,0,50,0
60450,0,50,0
60550,0,50,0
60650,1,50,1
60750,0,50,0
60850,0,50,0
60950,0,50,0
61050,0,50,0
61150,0,50,0
61250,0,50,0
61350,0,50,0
61450,0,50,0
61550,0,50,0
61650,0,50,0
61750,1,50,1
61850,0,50,0
61950,0,50,0
62050,0,50,0
62150,0,50,0
62250,0,50,0
62350,0,50,0
62450,0,50,0
62550,0,50,0
62650,0,50,0
62750,0,50,0
62850,0,50,0
62950,0,50,0
63050,0,50,0
63150,0,50,0
63250,0,50,0
63350,0,50,0
63450,0,50,0
63550,0,50,0
63650,0,50,0
63750,0,50,0
63850,0,50,0
63950,0,50,0
64050,0,50,0
64150,0,50,0
64250,0,50,0
64350,0,50,0
64450,0,50,0
64550,0,50,0
64650,0,50,0
64750,1,50,1
64850,0,50,0
64950,0,50,0
65050,0,50,0
65150,0,50,0
65250,0,50,0
65350,0,50,0
65450,0,50,0
65550,1,50,1
65650,0,50,0
65750,0,50,0
65850,1,50,1
65950,0,50,0
66050,0,50,0
66150,0,50,0
66250,0,50,0
66350,0,50,0
66450,0,50,0
66550,0,50,0
66650,0,50,0
66750,0,50,0
66850,0,50,0
66950,0,50,0
67050,0,50,0
67150,0,50,0
67250,0,50,0
67350,0,50,0
67450,0,50,0
67550,0,50,0
67650,0,50,0
67750,0,50,0
67850,0,50,0
67950,0,50,0
68050,0,50,0
68150,0,50,0
68250,0,50,0
68350,0,50,0
68450,0,50,0
68550,0,50,0
68650,0,50,0
68750,0,50,0
68850,0,50,0
68950,0,50,0
69050,0,50,0
69150,0,50,0
69250,0,50,0
69350,0,50,0
69450,0,50,0
69550,0,50,0
69650,0,50,0
69750,1,50,1
69850,0,50,0
69950,0,50,0
70050,0,50,0
70150,0,50,0
70250,0,50,0
70350,0,50,0
70450,0,50,0
70550,0,50,0
70650,0,50,0
70750,0,50,0
70850,0,50,0
70950,0,50,0
71050,0,50,0
71150,0,50,0
71250,0,50,0
71350,0,50,0
71450,0,50,0
71550,0,50,0
71650,0,50,0
71750,0,50,0
71850,0,50,0
71950,0,50,0
72050,0,50,0
72150,0,50,0
72250,0,50,0
72350,0,50,0
72450,0,50,0
72550,0,50,0
72650,0,50,0
72750,0,50,0
72850,0,50,0
72950,0,50,0
73050,0,50,0
73150,0,50,0
73250,0,50,0
73350,0,50,0
73450,0,50,0
73550,0,50,0
73650,0,50,0
73750,0,50,0
73850,0,50,0
73950,0,50,0
74050,0,50,0
74150,0,50,0
74250,0,50,0
74350,0,50,0
74450,0,50,0
74550,0,50,0
74650,0,50,0
74750,0,50,0
74850,0,50,0
74950,0,50,0
75050,0,50,0
75150,0,50,0
75250,0,50,0
75350,0,50,0
75450,0,50,0
75550,0,50,0
75650,0,50,0
75750,0,50,0
75850,0,50,0
75950,0,50,0
76050,0,50,0
76150,0,50,0
76250,0,50,0
76350,0,50,0
76450,0,50,0
76550,0,50,0
76650,0,50,0
76750,0,50,0
76850,0,50,0
76950,0,50,0
77050,0,50,0
77150,0,50,0
77250,0,50,0
77350,0,50,0
77450,0,50,0
77550,0,50,0
77650,0,50,0
77750,0,50,0
77850,0,50,0
77950,0,50,0
78050,0,50,0
78150,0,50,0
78250,0,50,0
78350,1,50,1
78450,1,50,1
78550,0,50,0
78650,0,50,0
78750,0,50,0
78850,0,50,0
78950,0,50,0
79050,0,50,0
79150,0,50,0
79250,0,50,0
79350,0,50,0
79450,0,50,0
79550,0,50,0
79650,0,50,0
79750,0,50,0
79850,0,50,0
79950,0,50,0
80050,0,50,0
80150,0,50,0
80250,0,50,0
80350,0,50,0
80450,0,50,0
80550,0,50,0
80650,0,50,0
80750,0,50,0
80850,0,50,0
80950,0,50,0
81050,0,50,0
81150,0,50,0
81250,0,50,0
81350,0,50,0
81450,0,50,0
81550,0,50,0
81650,0,50,0
81750,0,50,0
81850,0,50,0
81950,0,50,0
82050,0,50,0
82150,0,50,0
82250,0,50,0
82350,1,50,1
82450,0,50,0
82550,0,50,0
82650,0,50,0
82750,0,50,0
82850,0,50,0
82950,0,50,0
83050,0,50,0
83150,0,50,0
83250,0,50,0
83350,0,50,0
83450,0,50,0
83550,0,50,0
83650,0,50,0
83750,0,50,0
83850,0,50,0
83950,0,50,0
84050,0,50,0
84150,0,50,0
84250,0,50,0
84350,0,50,0
84450,0,50,0
84550,0,50,0
84650,0,50,0
84750,0,50,0
84850,1,50,1
84950,0,50,0
85050,0,50,0
85150,0,50,0
85250,0,50,0
85350,0,50,0
85450,0,50,0
85550,0,50,0
85650,0,50,0
85750,0,50,0
85850,0,50,0
85950,0,50,0
86050,0,50,0
86150,0,50,0
86250,0,50,0
86350,0,50,0
86450,0,50,0
86550,0,50,0
86650,0,50,0
86750,0,50,0
86850,0,50,0
86950,0,50,0
87050,0,50,0
87150,0,50,0
87250,0,50,0
87350,0,50,0
87450,0,50,0
87550,0,50,0
87650,0,50,0
87750,0,50,0
87850,0,50,0
87950,0,50,0
88050,0,50,0
88150,0,50,0
88250,0,50,0
88350,0,50,0
88450,0,50,0
88550,0,50,0
88650,0,50,0
88750,0,50,0
88850,0,50,0
88950,0,50,0
89050,0,50,0
89150,0,50,0
89250,0,50,0
89350,0,50,0
89450,0,50,0
89550,0,50,0
89650,0,50,0
89750,0,50,0
89850,0,50,0
89950,0,50,0
90050,0,50,0
90150,0,50,0
90250,0,50,0
90350,0,50,0
90450,0,50,0
90550,0,50,0
90650,0,50,0
90750,0,50,0
90850,0,50,0
90950,0,50,0
91050,0,50,0
91150,0,50,0
91250,0,50,0
91350,0,50,0
91450,0,50,0
91550,0,50,0
91650,0,50,0
91750,0,50,0
91850,0,50,0
91950,0,50,0
92050,0,50,0
92150,1,50,1
92250,0,50,0
92350,0,50,0
92450,0,50,0
92550,0,50,0
92650,0,50,0
92750,0,50,0
92850,0,50,0
92950,0,50,0
93050,0,50,0
93150,0,50,0
93250,0,50,0
93350,0,50,0
93450,0,50,0
93550,1,50,1
93650,0,50,0
93750,0,50,0
93850,0,50,0
93950,0,50,0
94050,0,50,0
94150,0,50,0
94250,0,50,0
94350,0,50,0
94450,0,50,0
94550,0,50,0
94650,0,50,0
94750,0,50,0
94850,0,50,0
94950,0,50,0
95050,0,50,0
95150,0,50,0
95250,0,50,0
95350,0,50,0
95450,0,50,0
95550,0,50,0
95650,0,50,0
95750,0,50,0
95850,0,50,0
95950,0,50,0
96050,0,50,0
96150,0,50,0
96250,0,50,0
96350,0,50,0
96450,0,50,0
96550,0,50,0
96650,0,50,0
96750,0,50,0
96850,0,50,0
96950,0,50,0
97050,0,50,0
97150,0,50,0
97250,0,50,0
97350,0,50,0
97450,0,50,0
97550,0,50,0
97650,0,50,0
97750,0,50,0
97850,0,50,0
97950,0,50,0
98050,0,50,0
98150,0,50,0
98250,0,50,0
98350,0,50,0
98450,0,50,0
98550,0,50,0
98650,0,50,0
98750,0,50,0
98850,0,50,0
98950,0,50,0
99050,0,50,0
99150,0,50,0
99250,0,50,0
99350,0,50,0
99450,0,50,0
99550,0,50,0
99650,0,50,0
99750,0,50,0
99850,0,50,0
99950,0,50,0
